,Filmes,ano,Nota,Diretores e Roteiristas
211,Ben-Hur,1959,8.1,"William Wyler (dir.), Charlton Heston, Jack Hawkins"
212,Como Treinar o Seu Dragão,2010,8.1,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler"
213,Mad Max: Estrada da Fúria,2015,8.1,"George Miller (dir.), Tom Hardy, Charlize Theron"
214,Sonata de Outono,1978,8.1,"Ingmar Bergman (dir.), Ingrid Bergman, Liv Ullmann"
215,Menina de Ouro,2004,8.1,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood"
216,O Salário do Medo,1953,8.1,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel"
217,Conta Comigo,1986,8.1,"Rob Reiner (dir.), Wil Wheaton, River Phoenix"
218,A Criada,2016,8.1,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
219,Rede de Intrigas,1976,8.1,"Sidney Lumet (dir.), Faye Dunaway, William Holden"
220,Logan,2017,8.1,"James Mangold (dir.), Hugh Jackman, Patrick Stewart"
221,O Ódio,1995,8.1,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
222,A Voz do Silêncio,2016,8.1,"Naoko Yamada (dir.), Miyu Irino, Saori Hayami"
223,Rebeldia Indomável,1967,8.0,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
224,Sempre ao Seu Lado,2009,8.0,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
225,Gangues de Wasseypur,2012,8.0,"Anurag Kashyap (dir.), Manoj Bajpayee, Richa Chadha"
226,Os Incompreendidos,1959,8.0,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
227,Platoon,1986,8.0,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger"
228,Spotlight: Segredos Revelados,2015,8.0,"Tom McCarthy (dir.), Mark Ruffalo, Michael Keaton"
229,Monstros S.A.,2001,8.0,"Pete Docter (dir.), Billy Crystal, John Goodman"
230,"Rebecca, a Mulher Inesquecível",1940,8.0,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
231,A Vida de Brian,1979,8.0,"Terry Jones (dir.), Graham Chapman, John Cleese"
232,Amor à Flor da Pele,2000,8.0,"Kar-Wai Wong (dir.), Tony Chiu-Wai Leung, Maggie Cheung"
233,Hotel Ruanda,2004,8.0,"Terry George (dir.), Don Cheadle, Sophie Okonedo"
234,O Bandido,1996,8.0,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel"
235,Rush: No Limite da Emoção,2013,8.0,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth"
236,Rocky: Um Lutador,1976,8.0,"John G. Avildsen (dir.), Sylvester Stallone, Talia Shire"
237,Amores Brutos,2000,8.0,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
238,Na Natureza Selvagem,2007,8.0,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
239,Nausicaä do Vale do Vento,1984,8.0,"Hayao Miyazaki (dir.), Sumi Shimamoto, Mahito Tsujimura"
240,Antes do Pôr-do-Sol,2004,8.0,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
241,Demon Slayer - Mugen Train: O Filme,2020,8.0,"Haruo Sotozaki (dir.), Natsuki Hanae, Akari Kitô"
242,Aconteceu Naquela Noite,1934,8.0,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
243,Fanny e Alexander,1982,8.0,"Ingmar Bergman (dir.), Bertil Guve, Pernilla Allwin"
244,A Batalha de Argel,1966,8.0,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
245,A Chantagem,2013,8.0,"Jeethu Joseph (dir.), Mohanlal, Meena"
246,Noites de Cabíria,1957,8.0,"Federico Fellini (dir.), Giulietta Masina, François Périer"
247,Neon Genesis Evangelion: O Fim do Evangelho,1997,8.0,"Hideaki Anno (dir.), Megumi Ogata, Megumi Hayashibara"
248,Andrei Rublev,1966,8.0,"Andrei Tarkovsky (dir.), Anatoliy Solonitsyn, Ivan Lapikov"
249,A Princesa Prometida,1987,8.0,"Rob Reiner (dir.), Cary Elwes, Mandy Patinkin"
